Phone timestamp,X [mg],Y [mg],Z [mg],Type,Amount
2021-12-07 21:17:42.404,-1106,442,-1744,,
2021-12-07 21:17:42.423,-948,398,-1575,,
2021-12-07 21:17:42.443,-856,246,-647,,
2021-12-07 21:17:42.462,-663,21,-483,,
2021-12-07 21:17:42.482,-660,439,-530,,
2021-12-07 21:17:42.501,-1396,377,-647,,
2021-12-07 21:17:42.521,-1046,1274,-1666,,
2021-12-07 21:17:42.540,-900,807,-983,,
2021-12-07 21:17:42.560,-814,874,-630,,
2021-12-07 21:17:42.579,-856,972,-627,,
2021-12-07 21:17:42.599,-904,1145,-414,,
2021-12-07 21:17:42.618,-877,1143,-142,,
2021-12-07 21:17:42.638,-805,1061,-24,,
2021-12-07 21:17:42.657,-756,1121,-72,,
2021-12-07 21:17:42.677,-661,1093,-120,,
2021-12-07 21:17:42.696,-620,1131,-74,,
2021-12-07 21:17:42.716,-627,1111,138,,
2021-12-07 21:17:42.735,-667,1100,406,,
2021-12-07 21:17:42.755,-738,1077,713,,
2021-12-07 21:17:42.774,-727,985,805,,
2021-12-07 21:17:42.794,-609,875,743,,
2021-12-07 21:17:42.813,-458,775,676,,
2021-12-07 21:17:42.833,-304,730,696,,
2021-12-07 21:17:42.852,-251,607,750,,
2021-12-07 21:17:42.872,-254,466,758,,
2021-12-07 21:17:42.891,-307,368,813,,
2021-12-07 21:17:42.911,-382,308,787,,
2021-12-07 21:17:42.930,-378,281,632,,
2021-12-07 21:17:42.950,-349,248,512,,
2021-12-07 21:17:42.970,-378,236,583,,
2021-12-07 21:17:42.989,-477,236,790,,
2021-12-07 21:17:43.009,-548,270,944,,
2021-12-07 21:17:43.028,-580,380,963,,
2021-12-07 21:17:43.048,-520,506,867,,
2021-12-07 21:17:43.067,-410,641,729,,
2021-12-07 21:17:43.087,-317,796,633,,
2021-12-07 21:17:43.106,-353,945,688,,
2021-12-07 21:17:43.126,-432,1044,806,,
2021-12-07 21:17:43.145,-445,1180,855,,
2021-12-07 21:17:43.165,-386,1242,812,,
2021-12-07 21:17:43.184,-328,1248,881,,
2021-12-07 21:17:43.204,-320,1158,975,,
2021-12-07 21:17:43.223,-362,1093,1063,,
2021-12-07 21:17:43.243,-371,1119,991,,
2021-12-07 21:17:43.262,-334,1188,806,,
2021-12-07 21:17:43.282,-305,1137,623,,
2021-12-07 21:17:43.301,-291,1006,492,,
2021-12-07 21:17:43.321,-274,802,419,,
2021-12-07 21:17:43.340,-293,591,381,,
2021-12-07 21:17:43.360,-304,425,314,,
2021-12-07 21:17:43.379,-320,290,241,,
2021-12-07 21:17:43.399,-409,187,282,,
2021-12-07 21:17:43.418,-487,88,309,,
2021-12-07 21:17:43.438,-511,46,276,,
2021-12-07 21:17:43.457,-527,56,263,,
2021-12-07 21:17:43.477,-534,32,238,,
2021-12-07 21:17:43.496,-571,48,280,,
2021-12-07 21:17:43.516,-628,83,416,,
2021-12-07 21:17:43.536,-674,120,524,,
2021-12-07 21:17:43.555,-666,197,537,,
2021-12-07 21:17:43.575,-639,323,510,,
2021-12-07 21:17:43.594,-602,469,520,,
2021-12-07 21:17:43.614,-582,524,614,,
2021-12-07 21:17:43.633,-649,649,755,,
2021-12-07 21:17:43.653,-732,768,787,,
2021-12-07 21:17:43.672,-765,914,732,,
2021-12-07 21:17:43.692,-757,1029,642,,
2021-12-07 21:17:43.711,-728,1169,612,,
2021-12-07 21:17:43.731,-658,1371,600,,
2021-12-07 21:17:43.750,-563,1382,658,,
2021-12-07 21:17:43.770,-489,1279,715,,
2021-12-07 21:17:43.789,-414,1249,674,,
2021-12-07 21:17:43.809,-400,1305,632,,
2021-12-07 21:17:43.828,-429,1273,626,,
2021-12-07 21:17:43.848,-506,1166,654,,
2021-12-07 21:17:43.867,-589,909,571,,
2021-12-07 21:17:43.887,-684,633,446,,
2021-12-07 21:17:43.906,-785,381,297,,
2021-12-07 21:17:43.926,-853,242,93,,
2021-12-07 21:17:43.945,-967,48,261,,
2021-12-07 21:17:43.965,-1195,-169,653,,
2021-12-07 21:17:43.984,-1449,-307,586,,
2021-12-07 21:17:44.004,-1847,-424,79,,
2021-12-07 21:17:44.023,-2042,-385,249,,
